County,court_level,court_name,Supreme - Filed,COA - CR filed,COA - CV filed,HC - CR filed,HC - CV filed,ELRC - Filed cases,ELC - Filed cases,MC - CR filed cases,MC - CV filed cases,SCC - CR filed cases,SCC - CV filed cases,Kadhi Court - Filed cases,Supreme - Resolved,COA - CR Resolved,COA - CV Resolved,HC - CR Resolved,HC - CV Resolved,ELRC - Resolved cases,ELC - Resolved cases,MC - CR Resolved cases,MC - CV Resolved cases,SCC - CR Resolved cases,SCC - CV Resolved cases,Kadhi Court - Resolved cases,Supreme - Pending,COA - CR Pending,COA - CV Pending,HC - CR Pending,HC - CV Pending,ELRC - Pending cases,ELC - Pending cases,MC - CR Pending cases,MC - CV Pending cases,SCC - CR Pending cases,SCC - CV Pending cases,SCC- All Pending cases,Kadhi Court - pending cases
Kilifi,3,Malindi High Court,,,,244,413,,,,,,,,,,,118,250,,,,,,,,,,,314,478,,,,,,,,
Kilifi,4,Malindi ELRC,,,,,,56,,,,,,,,,,,,134,,,,,,,,,,,,35,,,,,,,
Kilifi,5,Malindi ELC,,,,,,,194,,,,,,,,,,,,353,,,,,,,,,,,,661,,,,,,
Kilifi,6,Kilifi Magistrate Court,,,,,,,,1623,1057,,,,,,,,,,,1171,761,,,,,,,,,,,2717,1351,,,,
Kilifi,6,Malindi Magistrate Court,,,,,,,,1331,877,,,,,,,,,,,1234,691,,,,,,,,,,,3770,1027,,,,
Kilifi,7,Kilifi Kadhi Court,,,,,,,,,,,,162,,,,,,,,,,,,165,,,,,,,,,,,,,107
Kilifi,7,Malindi Kadhi Court,,,,,,,,,,,,144,,,,,,,,,,,,104,,,,,,,,,,,,,73
Tana river,3,Garsen High Court,,,,155,46,,,,,,,,,,,174,44,,,,,,,,,,,86,91,,,,,,,,
Tana river,6,Garsen Magistrate Court,,,,,,,,527,103,,,,,,,,,,,376,139,,,,,,,,,,,712,129,,,,
Tana river,6,Hola Magistrate Court,,,,,,,,317,91,,,,,,,,,,,373,50,,,,,,,,,,,352,72,,,,
Tana river,7,Garsen Kadhi Court,,,,,,,,,,,,101,,,,,,,,,,,,89,,,,,,,,,,,,,38
Tana river,7,Hola Kadhi Court,,,,,,,,,,,,61,,,,,,,,,,,,55,,,,,,,,,,,,,20
Tana river,7,Witu Kadhi Court,,,,,,,,,,,,150,,,,,,,,,,,,153,,,,,,,,,,,,,24
Tana river,6,Kipini under Garsen Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamu,6,Lamu Magistrate Court,,,,,,,,553,94,,,,,,,,,,,453,48,,,,,,,,,,,237,131,,,,
Lamu,6,Mpeketoni Magistrate Court,,,,,,,,311,72,,,,,,,,,,,380,80,,,,,,,,,,,159,86,,,,
Lamu,7,Lamu Kadhi Court,,,,,,,,,,,,193,,,,,,,,,,,,118,,,,,,,,,,,,,199
Lamu,7,Mpeketoni Kadhi Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamu,7,Faza Island Kadhi Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamu,6,Faza Islands under Lamu Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taita Taveta,3,Voi High Court,,,,412,121,,,,,,,,,,,384,143,,,,,,,,,,,383,207,,,,,,,,
Taita Taveta,6,Taveta Magistrate Court,,,,,,,,917,63,,,,,,,,,,,769,39,,,,,,,,,,,755,143,,,,
Taita Taveta,6,Voi Magistrate Court,,,,,,,,1410,343,,,,,,,,,,,1316,553,,,,,,,,,,,1561,496,,,,
Taita Taveta,6,Wundanyi Magistrate Court,,,,,,,,709,126,,,,,,,,,,,661,115,,,,,,,,,,,453,135,,,,
Taita Taveta,7,Voi Kadhi Court,,,,,,,,,,,,84,,,,,,,,,,,,88,,,,,,,,,,,,,2
Garissa,3,Garissa High Court,,,,166,64,,,,,,,,,,,104,49,,,,,,,,,,,464,272,,,,,,,,
Garissa,4,Garissa ELRC (sub-reg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garissa,5,Garissa ELC,,,,,,,34,,,,,,,,,,,,33,,,,,,,,,,,,64,,,,,,
Garissa,6,Garissa Magistrate Court,,,,,,,,1948,160,,,,,,,,,,,1884,181,,,,,,,,,,,1430,371,,,,
Garissa,7,Garissa Kadhi Court,,,,,,,,,,,,523,,,,,,,,,,,,303,,,,,,,,,,,,,662
Garissa,6,Dadaab Magistrate Court,,,,,,,,116,25,,,,,,,,,,,77,2,,,,,,,,,,,117,0,,,,
Garissa,7,Daadab Kadhi Court,,,,,,,,,,,,162,,,,,,,,,,,,146,,,,,,,,,,,,,120
Garissa,7,Ijara Kadhi Court,,,,,,,,,,,,114,,,,,,,,,,,,92,,,,,,,,,,,,,54
Garissa,7,Bura/Fafi Kadhi Court,,,,,,,,,,,,49,,,,,,,,,,,,48,,,,,,,,,,,,,12
Garissa,7,Balambala Kadhi Court,,,,,,,,,,,,57,,,,,,,,,,,,53,,,,,,,,,,,,,10
Garissa,7,Modogashe Kadhi Court,,,,,,,,,,,,16,,,,,,,,,,,,26,,,,,,,,,,,,,-4
Garissa,6,Ijara under Garissa Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garissa,6,Bangale under Garissa Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wajir,6,Wajir Magistrate Court,,,,,,,,1015,87,,,,,,,,,,,900,81,,,,,,,,,,,1043,70,,,,
Wajir,7,Wajir Kadhi Court,,,,,,,,,,,,323,,,,,,,,,,,,287,,,,,,,,,,,,,278
Wajir,7,Habaswein Kadhi Court,,,,,,,,,,,,55,,,,,,,,,,,,48,,,,,,,,,,,,,24
Wajir,7,Bute Kadhi Court,,,,,,,,,,,,67,,,,,,,,,,,,73,,,,,,,,,,,,,2
Wajir,7,Eldas Kadhi Court,,,,,,,,,,,,16,,,,,,,,,,,,16,,,,,,,,,,,,,43
Mandera,6,Mandera Magistrate Court,,,,,,,,625,32,,,,,,,,,,,627,63,,,,,,,,,,,253,14,,,,
Mandera,7,Mandera Kadhi Court,,,,,,,,,,,,186,,,,,,,,,,,,144,,,,,,,,,,,,,86
Mandera,7,Elwak Kadhi Court,,,,,,,,,,,,150,,,,,,,,,,,,139,,,,,,,,,,,,,27
Mandera,7,Takaba Kadhi Court,,,,,,,,,,,,117,,,,,,,,,,,,105,,,,,,,,,,,,,21
Marsabit,3,Marsabit High Court,,,,104,27,,,,,,,,,,,77,19,,,,,,,,,,,34,96,,,,,,,,
Marsabit,6,Moyale Magistrate Court,,,,,,,,580,41,,,,,,,,,,,571,61,,,,,,,,,,,90,15,,,,
Marsabit,6,Marsabit Magistrate Court,,,,,,,,596,66,,,,,,,,,,,566,64,,,,,,,,,,,639,39,,,,
Marsabit,7,Marsabit Kadhi Court,,,,,,,,,,,,96,,,,,,,,,,,,51,,,,,,,,,,,,,175
Marsabit,7,Moyale Kadhi Court,,,,,,,,,,,,222,,,,,,,,,,,,228,,,,,,,,,,,,,50
Marsabit,6,Laisamis Merille under Marsabit Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiolo,5,Isiolo ELC,,,,,,,72,,,,,,,,,,,,14,,,,,,,,,,,,58,,,,,,
Isiolo,6,Isiolo Magistrate Court,,,,,,,,1230,185,,,,,,,,,,,939,201,,,,,,,,,,,1500,162,,,,
Isiolo,7,Isiolo Kadhi Court,,,,,,,,,,,,287,,,,,,,,,,,,285,,,,,,,,,,,,,36
Isiolo,7,Garbatulla Kadhi Court,,,,,,,,,,,,68,,,,,,,,,,,,58,,,,,,,,,,,,,20
Isiolo,7,Merti Kadhi Court,,,,,,,,,,,,158,,,,,,,,,,,,159,,,,,,,,,,,,,21
Isiolo,6,Merti under Isiolo Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiolo,6,Archers Post under Isiolo Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,3,Meru High Court,,,,512,442,,,,,,,,,,,447,819,,,,,,,,,,,1483,2342,,,,,,,,
Meru,4,Meru ELRC (sub-reg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,5,Meru ELC,,,,,,,217,,,,,,,,,,,,469,,,,,,,,,,,,141,,,,,,
Meru,6,Maua Magistrate Court,,,,,,,,2262,702,,,,,,,,,,,2793,769,,,,,,,,,,,2850,289,,,,
Meru,6,Meru Magistrate Court,,,,,,,,2749,1128,,,,,,,,,,,2575,908,,,,,,,,,,,2150,4721,,,,
Meru,6,Nkubu Magistrate Court,,,,,,,,805,446,,,,,,,,,,,1046,412,,,,,,,,,,,377,394,,,,
Meru,6,Tigania Magistrate Court,,,,,,,,1912,441,,,,,,,,,,,1612,564,,,,,,,,,,,1890,502,,,,
Meru,6,Githongo Magistrate Court,,,,,,,,753,278,,,,,,,,,,,919,224,,,,,,,,,,,449,254,,,,
Meru,7,Maua Kadhi Court,,,,,,,,,,,,34,,,,,,,,,,,,29,,,,,,,,,,,,,10
Tharaka Nithi,3,Chuka High Court,,,,190,153,,,,,,,,,,,93,107,,,,,,,,,,,217,519,,,,,,,,
Tharaka Nithi,5,Chuka ELC,,,,,,,43,,,,,,,,,,,,61,,,,,,,,,,,,4,,,,,,
Tharaka Nithi,6,Chuka Magistrate Court,,,,,,,,930,649,,,,,,,,,,,1213,454,,,,,,,,,,,969,1190,,,,
Tharaka Nithi,6,Marimanti Magistrate Court,,,,,,,,866,111,,,,,,,,,,,800,128,,,,,,,,,,,654,159,,,,
Embu,3,Embu High Court,,,,158,221,,,,,,,,,,,163,422,,,,,,,,,,,131,397,,,,,,,,
Embu,5,Embu ELC,,,,,,,115,,,,,,,,,,,,149,,,,,,,,,,,,415,,,,,,
Embu,6,Embu Magistrate Court,,,,,,,,1201,584,,,,,,,,,,,1407,941,,,,,,,,,,,1813,174,,,,
Embu,6,Runyenjes Magistrate Court,,,,,,,,814,410,,,,,,,,,,,977,598,,,,,,,,,,,230,520,,,,
Embu,6,Siakago Magistrate Court,,,,,,,,1386,684,,,,,,,,,,,1287,917,,,,,,,,,,,505,1135,,,,
Kitui,3,Kitui High Court,,,,223,188,,,,,,,,,,,296,297,,,,,,,,,,,348,183,,,,,,,,
Kitui,5,Kitui ELC,,,,,,,133,,,,,,,,,,,,75,,,,,,,,,,,,68,,,,,,
Kitui,6,Kitui Magistrate Court,,,,,,,,1728,1029,,,,,,,,,,,1454,905,,,,,,,,,,,1690,2756,,,,
Kitui,6,Kyuso Magistrate Court,,,,,,,,257,54,,,,,,,,,,,245,67,,,,,,,,,,,117,45,,,,
Kitui,6,Mutomo Magistrate Court,,,,,,,,773,162,,,,,,,,,,,716,94,,,,,,,,,,,691,234,,,,
Kitui,6,Mwingi Magistrate Court,,,,,,,,1261,387,,,,,,,,,,,1249,309,,,,,,,,,,,1444,684,,,,
Kitui,7,Kitui Kadhi Court,,,,,,,,,,,,41,,,,,,,,,,,,42,,,,,,,,,,,,,8
Kitui,7,Mwingi Kadhi Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,6,Zombe under Kitui Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,3,Machakos High Court,,,,382,762,,,,,,,,,,,272,880,,,,,,,,,,,1270,2092,,,,,,,,
Machakos,4,Machakos ELRC (sub-reg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machakos,5,Machakos ELC,,,,,,,270,,,,,,,,,,,,441,,,,,,,,,,,,628,,,,,,
Machakos,6,Kangundo Magistrate Court,,,,,,,,2216,629,,,,,,,,,,,2105,503,,,,,,,,,,,2061,769,,,,
Machakos,6,Machakos Magistrate Court,,,,,,,,2467,2032,,,,,,,,,,,2035,1705,,,,,,,,,,,3687,3549,,,,
Machakos,6,Mavoko Magistrate Court,,,,,,,,3373,1564,,,,,,,,,,,2802,1328,,,,,,,,,,,3443,5049,,,,
Machakos,6,Kithimani Magistrate Court,,,,,,,,1708,598,,,,,,,,,,,1602,501,,,,,,,,,,,2387,518,,,,
Machakos,7,Machakos Kadhi Court,,,,,,,,,,,,40,,,,,,,,,,,,21,,,,,,,,,,,,,123
Makueni,3,Makueni High Court,,,,505,262,,,,,,,,,,,350,318,,,,,,,,,,,336,359,,,,,,,,
Makueni,5,Makueni ELC,,,,,,,88,,,,,,,,,,,,144,,,,,,,,,,,,15,,,,,,
Makueni,6,Kilungu Magistrate Court,,,,,,,,1411,462,,,,,,,,,,,1190,416,,,,,,,,,,,1173,765,,,,
Makueni,6,Makueni Magistrate Court,,,,,,,,556,1036,,,,,,,,,,,550,479,,,,,,,,,,,509,1221,,,,
Makueni,6,Makindu Magistrate Court,,,,,,,,1876,357,,,,,,,,,,,1477,303,,,,,,,,,,,1618,1916,,,,
Makueni,6,Tawa Magistrate Court,,,,,,,,462,246,,,,,,,,,,,289,113,,,,,,,,,,,948,242,,,,
Nyandarua,6,Engineer Magistrate Court,,,,,,,,4035,544,,,,,,,,,,,4220,865,,,,,,,,,,,504,160,,,,
Nyandarua,3,Nyandarua High Court,,,,165,139,,,,,,,,,,,187,186,,,,,,,,,,,244,195,,,,,,,,
Nyandarua,5,Nyandarua ELC,,,,,,,90,,,,,,,,,,,,60,,,,,,,,,,,,213,,,,,,
Nyeri,2,Nyeri Court of Appeal,,65,251,,,,,,,,,,,23,106,,,,,,,,,,,582,1970,,,,,,,,,,
Nyeri,3,Nyeri High Court,,,,224,301,,,,,,,,,,,124,324,,,,,,,,,,,562,2031,,,,,,,,
Nyeri,4,Nyeri ELRC,,,,,,188,,,,,,,,,,,,138,,,,,,,,,,,,369,,,,,,,
Nyeri,5,Nyeri ELC,,,,,,,112,,,,,,,,,,,,113,,,,,,,,,,,,750,,,,,,
Nyeri,6,Karatina Magistrate Court,,,,,,,,691,542,,,,,,,,,,,794,477,,,,,,,,,,,1039,1517,,,,
Nyeri,6,Mukurwe-ini Magistrate Court,,,,,,,,826,234,,,,,,,,,,,864,267,,,,,,,,,,,158,762,,,,
Nyeri,6,Nyeri Magistrate Court,,,,,,,,2478,1392,,,,,,,,,,,1954,1046,,,,,,,,,,,1547,3036,,,,
Nyeri,6,Othaya Magistrate Court,,,,,,,,1082,12,,,,,,,,,,,980,122,,,,,,,,,,,107,370,,,,
Nyeri,7,Nyeri Kadhi Court,,,,,,,,,,,,33,,,,,,,,,,,,27,,,,,,,,,,,,,60
Kirinyaga,3,Kerugoya High Court,,,,179,205,,,,,,,,,,,113,191,,,,,,,,,,,318,2126,,,,,,,,
Kirinyaga,5,Kerugoya ELC,,,,,,,95,,,,,,,,,,,,96,,,,,,,,,,,,874,,,,,,
Kirinyaga,6,Baricho Magistrate Court,,,,,,,,1638,324,,,,,,,,,,,1230,342,,,,,,,,,,,2246,1108,,,,
Kirinyaga,6,Gichugu Magistrate Court,,,,,,,,1081,262,,,,,,,,,,,1089,251,,,,,,,,,,,741,496,,,,
Kirinyaga,6,Kerugoya Magistrate Court,,,,,,,,847,1196,,,,,,,,,,,892,997,,,,,,,,,,,1239,2019,,,,
Kirinyaga,6,Wang'uru Magistrate Court,,,,,,,,1196,573,,,,,,,,,,,1186,486,,,,,,,,,,,1531,1211,,,,
Kirinyaga,6,Karaba under Wanguru Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a ,3,Murang'a High Court,,,,236,280,,,,,,,,,,,351,485,,,,,,,,,,,1386,2520,,,,,,,,
Murang'a ,5,Murang'a ELC,,,,,,,109,,,,,,,,,,,,130,,,,,,,,,,,,47,,,,,,
Murang'a ,6,Kandara Magistrate Court,,,,,,,,2448,902,,,,,,,,,,,2294,589,,,,,,,,,,,2091,1725,,,,
Murang'a ,6,Kangema Magistrate Court,,,,,,,,809,234,,,,,,,,,,,875,176,,,,,,,,,,,477,443,,,,
Murang'a ,6,Kigumo Magistrate Court,,,,,,,,1761,648,,,,,,,,,,,1829,631,,,,,,,,,,,3293,817,,,,
Murang'a ,6,Murang'a Magistrate Court,,,,,,,,1284,1377,,,,,,,,,,,1367,1639,,,,,,,,,,,2910,4627,,,,
Murang'a ,7,Murang'a Kadhi Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,3,Kiambu High Court,,,,468,916,,,,,,,,,,,428,485,,,,,,,,,,,1667,1900,,,,,,,,
Kiambu,5,Thika ELC,,,,,,,452,,,,,,,,,,,,527,,,,,,,,,,,,977,,,,,,
Kiambu,6,Kiambu Magistrate Court,,,,,,,,3143,1453,,,,,,,,,,,3092,1156,,,,,,,,,,,1425,1970,,,,
Kiambu,6,Kikuyu Magistrate Court,,,,,,,,1724,1283,,,,,,,,,,,1627,1132,,,,,,,,,,,2437,3123,,,,
Kiambu,6,Limuru Magistrate Court,,,,,,,,1631,1188,,,,,,,,,,,1385,782,,,,,,,,,,,1320,3106,,,,
Kiambu,6,Gatundu Magistrate Court,,,,,,,,1591,1086,,,,,,,,,,,1193,738,,,,,,,,,,,1471,1738,,,,
Kiambu,6,Githunguri Magistrate Court,,,,,,,,1283,317,,,,,,,,,,,1022,307,,,,,,,,,,,1063,575,,,,
Kiambu,6,Thika Magistrate Court,,,,,,,,6284,1570,,,,,,,,,,,5778,2972,,,,,,,,,,,4960,3690,,,,
Kiambu,7,Thika Kadhi Court,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,28
Turkana,3,Lodwar High Court,,,,211,14,,,,,,,,,,,139,3,,,,,,,,,,,120,45,,,,,,,,
Turkana,6,Lodwar Magistrate Court,,,,,,,,960,117,,,,,,,,,,,913,50,,,,,,,,,,,1401,203,,,,
Turkana,6,Kakuma Magistrate Court,,,,,,,,397,7,,,,,,,,,,,458,33,,,,,,,,,,,351,26,,,,
Turkana,7,Kakuma Kadhi Court,,,,,,,,,,,,582,,,,,,,,,,,,337,,,,,,,,,,,,,394
Turkana,6,Lokichar under Lodwar Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkana,6,Lokitaung under Lodwar Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Pokot,3,Kapenguria High Court,,,,94,30,,,,,,,,,,,57,19,,,,,,,,,,,180,51,,,,,,,,
West Pokot,6,Kapenguria Magistrate Court,,,,,,,,1491,150,,,,,,,,,,,1467,65,,,,,,,,,,,2292,407,,,,
Samburu,6,Maralal Magistrate Court,,,,,,,,512,100,,,,,,,,,,,528,82,,,,,,,,,,,143,91,,,,
Samburu,6,Wamba under Maralal Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tranzoia,3,Kitale High Court,,,,483,235,,,,,,,,,,,316,217,,,,,,,,,,,2146,1191,,,,,,,,
Tranzoia,5,Kitale ELC,,,,,,,97,,,,,,,,,,,,188,,,,,,,,,,,,528,,,,,,
Tranzoia,6,Kitale Magistrate Court,,,,,,,,5781,1093,,,,,,,,,,,5511,1374,,,,,,,,,,,8417,1037,,,,
Tranzoia,7,Kitale Kadhi Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uasin Gishu,3,Eldoret High Court,,,,603,630,,,,,,,,,,,423,660,,,,,,,,,,,1174,1057,,,,,,,,
Uasin Gishu,4,Eldoret ELRC,,,,,,114,,,,,,,,,,,,158,,,,,,,,,,,,654,,,,,,,
Uasin Gishu,5,Eldoret ELC,,,,,,,207,,,,,,,,,,,,358,,,,,,,,,,,,827,,,,,,
Uasin Gishu,6,Eldoret Magistrate Court,,,,,,,,5654,3333,,,,,,,,,,,5740,2579,,,,,,,,,,,10211,5784,,,,
Uasin Gishu,7,Eldoret Kadhi Court,,,,,,,,,,,,84,,,,,,,,,,,,73,,,,,,,,,,,,,14
Elgeiyo Marakwet,5,Iten ELC,,,,,,,25,,,,,,,,,,,,19,,,,,,,,,,,,9,,,,,,
Elgeiyo Marakwet,6,Iten Magistrate Court,,,,,,,,1377,233,,,,,,,,,,,1438,251,,,,,,,,,,,372,152,,,,
Nandi,5,Kapsabet ELC,,,,,,,312,,,,,,,,,,,,75,,,,,,,,,,,,231,,,,,,
Nandi,6,Kapsabet Magistrate Court,,,,,,,,3442,838,,,,,,,,,,,3074,724,,,,,,,,,,,2044,1119,,,,
Nandi,6,Songhor under Kapsabet Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baringo,3,Kabarnet High Court,,,,155,71,,,,,,,,,,,110,54,,,,,,,,,,,436,171,,,,,,,,
Baringo,6,Kabarnet Magistrate Court,,,,,,,,1484,158,,,,,,,,,,,1320,123,,,,,,,,,,,700,118,,,,
Baringo,6,East Pokot under Kabarnet Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laikipia,3,Nanyuki High Court,,,,181,80,,,,,,,,,,,144,69,,,,,,,,,,,740,149,,,,,,,,
Laikipia,5,Nanyuki ELC,,,,,,,132,,,,,,,,,,,,28,,,,,,,,,,,,95,,,,,,
Laikipia,6,Nanyuki Magistrate Court,,,,,,,,2694,609,,,,,,,,,,,2420,394,,,,,,,,,,,2418,1995,,,,
Laikipia,6,Nyahururu Magistrate Court,,,,,,,,3477,1151,,,,,,,,,,,2786,789,,,,,,,,,,,4477,2838,,,,
Nakuru,3,Naivasha High Court,,,,333,220,,,,,,,,,,,279,287,,,,,,,,,,,394,249,,,,,,,,
Nakuru,3,Nakuru High Court,,,,765,717,,,,,,,,,,,481,1117,,,,,,,,,,,942,4953,,,,,,,,
Nakuru,4,Nakuru ELRC,,,,,,147,,,,,,,,,,,,485,,,,,,,,,,,,319,,,,,,,
Nakuru,5,Nakuru ELC,,,,,,,208,,,,,,,,,,,,322,,,,,,,,,,,,755,,,,,,
Nakuru,6,Eldama Ravine Magistrate Court,,,,,,,,1679,264,,,,,,,,,,,1612,237,,,,,,,,,,,1297,333,,,,
Nakuru,6,Molo Magistrate Court,,,,,,,,3902,684,,,,,,,,,,,4377,754,,,,,,,,,,,3161,978,,,,
Nakuru,6,Naivasha Magistrate Court,,,,,,,,3807,1297,,,,,,,,,,,3415,1315,,,,,,,,,,,5149,3273,,,,
Nakuru,6,Nakuru Magistrate Court,,,,,,,,8424,3265,,,,,,,,,,,5504,1642,,,,,,,,,,,15731,22884,,,,
Nakuru,7,Nakuru Kadhi Court,,,,,,,,,,,,68,,,,,,,,,,,,59,,,,,,,,,,,,,21
Narok,3,Narok High Court,,,,136,80,,,,,,,,,,,135,102,,,,,,,,,,,132,253,,,,,,,,
Narok,5,Narok ELC,,,,,,,45,,,,,,,,,,,,107,,,,,,,,,,,,149,,,,,,
Narok,5,Kilgoris ELC,,,,,,,85,,,,,,,,,,,,32,,,,,,,,,,,,52,,,,,,
Narok,6,Narok Magistrate Court,,,,,,,,2943,468,,,,,,,,,,,2051,265,,,,,,,,,,,2432,2274,,,,
Kajiado,3,Kajiado High Court,,,,144,374,,,,,,,,,,,51,173,,,,,,,,,,,341,487,,,,,,,,
Kajiado,5,Kajiado ELC,,,,,,,255,,,,,,,,,,,,270,,,,,,,,,,,,835,,,,,,
Kajiado,6,Ngong' Magistrate Court,,,,,,,,3436,700,,,,,,,,,,,2749,324,,,,,,,,,,,3155,917,,,,
Kajiado,6,Kajiado Magistrate Court,,,,,,,,3622,857,,,,,,,,,,,2685,1165,,,,,,,,,,,3597,2426,,,,
Kajiado,6,Loitoktok Magistrate Court,,,,,,,,435,149,,,,,,,,,,,466,163,,,,,,,,,,,106,141,,,,
Kajiado,7,Kajiado Kadhi Court,,,,,,,,,,,,62,,,,,,,,,,,,19,,,,,,,,,,,,,122
Kericho,3,Kericho High Court,,,,223,192,,,,,,,,,,,89,180,,,,,,,,,,,695,1152,,,,,,,,
Kericho,4,Kericho ELRC,,,,,,66,,,,,,,,,,,,158,,,,,,,,,,,,226,,,,,,,
Kericho,5,Kericho ELC,,,,,,,63,,,,,,,,,,,,191,,,,,,,,,,,,56,,,,,,
Kericho,6,Kericho Magistrate Court,,,,,,,,4958,861,,,,,,,,,,,4690,655,,,,,,,,,,,3915,1699,,,,
Kericho,7,Kericho Kadhi Court,,,,,,,,,,,,52,,,,,,,,,,,,45,,,,,,,,,,,,,85
Bomet,3,Bomet High Court,,,,323,187,,,,,,,,,,,128,183,,,,,,,,,,,386,403,,,,,,,,
Bomet,6,Bomet Magistrate Court,,,,,,,,1865,435,,,,,,,,,,,1826,333,,,,,,,,,,,1355,673,,,,
Bomet,6,Sotik Magistrate Court,,,,,,,,2042,354,,,,,,,,,,,1878,204,,,,,,,,,,,1023,917,,,,
Kakamega,3,Kakamega High Court,,,,219,398,,,,,,,,,,,122,1225,,,,,,,,,,,682,1784,,,,,,,,
Kakamega,5,Kakamega ELC,,,,,,,165,,,,,,,,,,,,281,,,,,,,,,,,,37,,,,,,
